DataStructure,Operation,DataSize,Time_Microseconds,Memory_KB
BPlusTree_256,Full_Iteration,10000,40,0
HashMap,Full_Iteration,100000,1210,0
TreeMap,Full_Iteration,100000,1371,0
RedBlackTree,Full_Iteration,100000,4119,0
BPlusTree_8,Full_Iteration,100000,758,0
BPlusTree_16,Full_Iteration,100000,717,0
BPlusTree_32,Full_Iteration,100000,581,0
BPlusTree_128,Full_Iteration,100000,507,0
BPlusTree_256,Full_Iteration,100000,471,0
HashMap,Full_Iteration,1000000,13749,0
TreeMap,Full_Iteration,1000000,62937,0
RedBlackTree,Full_Iteration,1000000,74347,0
BPlusTree_8,Full_Iteration,1000000,33830,0
BPlusTree_16,Full_Iteration,1000000,28582,0
BPlusTree_32,Full_Iteration,1000000,23654,0
BPlusTree_128,Full_Iteration,1000000,19874,0
BPlusTree_256,Full_Iteration,1000000,20487,0
HashMap,Partial_Iteration,100,1,0
TreeMap,Partial_Iteration,100,7,1
RedBlackTree,Partial_Iteration,100,5,1
BPlusTree_8,Partial_Iteration,100,4,1
BPlusTree_16,Partial_Iteration,100,2,0
BPlusTree_32,Partial_Iteration,100,2,0
BPlusTree_128,Partial_Iteration,100,1,0
BPlusTree_256,Partial_Iteration,100,3,0
HashMap,Partial_Iteration,1000,4,0
TreeMap,Partial_Iteration,1000,12,0
RedBlackTree,Partial_Iteration,1000,31,0
BPlusTree_8,Partial_Iteration,1000,3,0
BPlusTree_16,Partial_Iteration,1000,6,0
BPlusTree_32,Partial_Iteration,1000,4,0
BPlusTree_128,Partial_Iteration,1000,3,0
BPlusTree_256,Partial_Iteration,1000,6,0
HashMap,Partial_Iteration,10000,64,0
TreeMap,Partial_Iteration,10000,38,0
RedBlackTree,Partial_Iteration,10000,-1,0
BPlusTree_8,Partial_Iteration,10000,37,0
BPlusTree_16,Partial_Iteration,10000,37,0
BPlusTree_32,Partial_Iteration,10000,20,0
BPlusTree_128,Partial_Iteration,10000,18,0
BPlusTree_256,Partial_Iteration,10000,22,0
HashMap,Partial_Iteration,100000,404,0
TreeMap,Partial_Iteration,100000,334,0
RedBlackTree,Partial_Iteration,100000,2395,0
BPlusTree_8,Partial_Iteration,100000,343,0
BPlusTree_16,Partial_Iteration,100000,329,0
BPlusTree_32,Partial_Iteration,100000,197,0
BPlusTree_128,Partial_Iteration,100000,235,0
BPlusTree_256,Partial_Iteration,100000,226,0
HashMap,Partial_Iteration,1000000,5068,0
TreeMap,Partial_Iteration,1000000,4957,0
RedBlackTree,Partial_Iteration,1000000,29870,0
BPlusTree_8,Partial_Iteration,1000000,6496,0
BPlusTree_16,Partial_Iteration,1000000,4971,0
BPlusTree_32,Partial_Iteration,1000000,3676,0
BPlusTree_128,Partial_Iteration,1000000,3276,0
BPlusTree_256,Partial_Iteration,1000000,3001,0
